SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,CATEGORY,TARGET_LABEL,CCR_2015,CCR_2016,CCR_2017,CCR_2018,CCR_2019,CCR_2020,TARGET_LABEL_SORT,COOP,COOP_CODE
20152016,015,BULLITT,071,Bullitt County,075,North Bullitt High School,071075,015071075,210075000154,Delivery Target,Actual Score,87.0,80.6,,,,,2,OVEC,906
20152016,015,BULLITT,071,Bullitt County,075,North Bullitt High School,071075,015071075,210075000154,Delivery Target,Met Target,,No,,,,,3,OVEC,906
20152016,015,BULLITT,071,Bullitt County,,---District Total---,071,,,Delivery Target,Delivery Target,,87.9,89.2,,,,1,OVEC,906
20152016,015,BULLITT,071,Bullitt County,,---District Total---,071,,,Delivery Target,Actual Score,86.5,86.7,,,,,2,OVEC,906
20152016,015,BULLITT,071,Bullitt County,,---District Total---,071,,,Delivery Target,Met Target,,No,,,,,3,OVEC,906
20152016,084,MERCER,072,Burgin Independent,030,Burgin Independent School,072030,084072030,210078002407,Delivery Target,Delivery Target,,63.2,67.3,,,,1,CKEC,901
20152016,084,MERCER,072,Burgin Independent,030,Burgin Independent School,072030,084072030,210078002407,Delivery Target,Actual Score,59.1,82.9,,,,,2,CKEC,901
20152016,084,MERCER,072,Burgin Independent,030,Burgin Independent School,072030,084072030,210078002407,Delivery Target,Met Target,,Yes,,,,,3,CKEC,901
20152016,084,MERCER,072,Burgin Independent,,---District Total---,072,,,Delivery Target,Delivery Target,,63.2,67.3,,,,1,CKEC,901
20152016,084,MERCER,072,Burgin Independent,,---District Total---,072,,,Delivery Target,Actual Score,59.1,82.9,,,,,2,CKEC,901
20152016,084,MERCER,072,Burgin Independent,,---District Total---,072,,,Delivery Target,Met Target,,Yes,,,,,3,CKEC,901
20152016,016,BUTLER,075,Butler County,030,Butler County High School,075030,016075030,210081000160,Delivery Target,Delivery Target,,73.1,76.1,,,,1,GRREC,902
20152016,016,BUTLER,075,Butler County,030,Butler County High School,075030,016075030,210081000160,Delivery Target,Actual Score,70.1,73.8,,,,,2,GRREC,902
20152016,016,BUTLER,075,Butler County,030,Butler County High School,075030,016075030,210081000160,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,016,BUTLER,075,Butler County,,---District Total---,075,,,Delivery Target,Delivery Target,,73.1,76.1,,,,1,GRREC,902
20152016,016,BUTLER,075,Butler County,,---District Total---,075,,,Delivery Target,Actual Score,70.1,73.8,,,,,2,GRREC,902
